name,company,country,price,ratings,score,type,rum_url,img_url,br_score
10000 Drops Silver,1000Drops,United States,0,0,0.0,Light,/brands/10972-10000-drops-silver,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
10000 Drops Spiced,1000Drops,United States,0,1,4.0,Spiced,/brands/7354-10000-drops-spiced,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/7354/small_10-000-drops-spiced.png,4.711954542
1000 Hills Gold,1000 Hills Distillery,Rwanda,0,1,4.0,Light,/brands/5285-1000-hills-gold,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5285/small_1000-hills-gold.png,4.711954542
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10 Cane Signature Blend,10 Cane,Trinidad and Tobago,0,1,10.0,Gold,/brands/2312-10-cane-signature-blend,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,5.202628554
,,,,,,,,,
1423 Panama 12-Year,1423,Panama,0,1,7.0,Aged,/brands/1526-1423-panama-12-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1526/small_1423_panama_12-year_rum_orginal_400px_b.png,4.957291548
,,,,,,,,,
,,,,,,,,,
1492 Antique 15-Year,1492,United States,0,0,0.0,Aged,/brands/7074-1492-antique-15-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/7074/small_1492-antique-15-year.png,4.77536295
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1492 21-Year,1492,United States,0,0,0.0,Aged,/brands/5998-1492-21-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5998/small_1492-21-year.png,4.77536295
1492 18-Year,1492,United States,0,0,0.0,Aged,/brands/7073-1492-18-year,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
1492 10-Year,1492,United States,0,0,0.0,Aged,/brands/7072-1492-10-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/7072/small_1492-10-year.png,4.77536295
,,,,,,,,,
1731 Fine & Rare Barbados 8-Year,1731,Netherlands,0,2,6.5,Aged,/brands/8504-1731-fine-rare-barbados-8-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/8504/small_1731-fine-rare-barbados-8-year.png,5.036116942
1731 Fine & Rare Cuba 5-Year,1732,Netherlands,0,1,5.0,Gold,/brands/8562-1731-fine-rare-cuba-5-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/8562/small_1731-fine-rare-cuba-5-year.png,4.793733544
,,,,,,,,,
1731 Fine & Rare Guatemala Panama Belize XO,1734,Netherlands,0,1,6.0,Aged,/brands/8380-1731-fine-rare-guatemala-panama-belize-xo,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/8380/small_1731-fine-rare-guatemala-panama-belize-xo.png,4.875512546
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1931 80th Anniversary,1931,Saint Lucia,0,4,7.8,Aged,/brands/1690-1931-80th-anniversary,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1690/small_1931_80th_Anniversary_rum.png,5.569852468
1931 81st Anniversary,1931,Saint Lucia,0,23,8.4,Aged,/brands/1691-1931-81st-anniversary,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1691/small_1931_81st_Anniversary_rum.png,7.21098474
,,,,,,,,,
1931 83rd Anniversary,1931,Saint Lucia,0,11,6.9,Aged,/brands/5038-1931-83rd-anniversary,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5038/small_1931-83rd-anniversary.png,5.826781239
