nom,producteur,origine,volume,degre,type
Cuba 5 Years,1731 Fine & Rare,Pays-Bas,70.0,46.0,Vieux
Cuba Dominican Republic (Spanish Caribbean XO),1731 Fine & Rare,Pays-Bas,70.0,46.0,Vieux
Guatemala Panama Belize (Central America XO),1731 Fine & Rare,Pays-Bas,70.0,46.0,Vieux
Panama 6 Years,1731 Fine & Rare,Pays-Bas,70.0,46.0,Vieux
Trinidad Barbados Jamaica (British West Indies XO),1731 Fine & Rare,Pays-Bas,70.0,46.0,Vieux
Caroni 12 Ans,Blackadder,Angleterre,70.0,46.0,Vieux
Caroni 18 Ans,Blackadder,Angleterre,70.0,63.1,Vieux
Fiji 2001-2012 - 11 Years,Blackadder,Angleterre,70.0,63.9,Vieux
Guadeloupe Belvedere 1998-2015- 17 Years,Blackadder,Angleterre,70.0,57.5,Vieux
Guadeloupe Belvedere 1998-2017- 19 Years,Blackadder,Angleterre,70.0,56.6,Vieux
Guyana Diamond 2008-2018- 10 Years,Blackadder,Angleterre,70.0,57.6,Vieux
Guyana Diamond 2003-2016- 12 Years,Blackadder,Angleterre,70.0,64.3,Vieux
Guyana Diamond 2003-2015- 14 Years,Blackadder,Angleterre,70.0,63.1,Vieux
Guyana Diamond 2003-2015- 15 Years,Blackadder,Angleterre,70.0,48.6,Vieux
Jamaica Hampden - 14 Years,Blackadder,Angleterre,70.0,57.4,Vieux
Jamaica Hampden 2000-2016- 15 Years,Blackadder,Angleterre,70.0,57.0,Vieux
Jamaica Hampden 2000-2017- 16 Years,Blackadder,Angleterre,70.0,56.1,Vieux
Nicaragua 1999,Blackadder,Angleterre,70.0,46.0,Vieux
Ste-Lucie 1999-2012,Blackadder,Angleterre,70.0,68.2,Vieux
Blanc VSOP,Bonpland,Allemagne,70.0,40.0,Spiced
Claire,Bonpland,Allemagne,70.0,42.0,Spiced
Forte,Bonpland,Allemagne,70.0,55.0,Spiced
Rouge VSOP,Bonpland,Allemagne,70.0,40.0,Spiced
Single Cask (XO) - Barbados 20 Years,Bonpland,Allemagne,70.0,45.0,Vieux
Single Cask (XO) - Barbados 13 Years (Foursquare),Bonpland,Allemagne,70.0,45.0,Vieux
Single Cask (XO) - Belize 13 Years (Travellers),Bonpland,Allemagne,70.0,45.0,Vieux
Single Cask (XO) - Dominican 16 Years,Bonpland,Allemagne,70.0,45.0,Vieux
Single Cask (XO) - Fiji 12 Years,Bonpland,Allemagne,70.0,45.0,Vieux
Single Cask (XO) - Guyana 19 Years (Uitvlugt),Bonpland,Allemagne,70.0,45.0,Vieux
Single Cask (XO) - Guyana 23 Years (Uitvlugt),Bonpland,Allemagne,70.0,45.0,Vieux
Single Cask (XO) - Guyana 30 Years (Diamond),Bonpland,Allemagne,70.0,50.0,Vieux
