nom,producteur,origine,volume,degre,type
Eminente Rhum Vieux  7 ans Reserva   ,Eminente,Cuba,70.0,41.3,Vieux
La Progresiva Rhum Vieux   ,La progresiva,Cuba,,41.0,Vieux
Black Tears Rhum Épice  ,Black tears,Cuba,,40.0,
Conde de  Liqueur Elixir   ,Conde,Cuba,70.0,32.0,Spiced
Legendario Rhum Ambré Ron Dorado   ,Legendario,Cuba,70.0,38.0,
Havana Club Rhum Vieux Union coffret   ,Havana club,Cuba,70.0,40.0,Coffret
Conde de  Rhum Vieux 7 ans   ,Conde de ,Cuba,70.0,38.0,Vieux
Bristol Rhum Vieux Fine n 2003 9 ans   ,Bristol,Cuba,70.0,43.0,Vieux
Caney Rhum Blanc 3 ans Carta Blanca   ,Caney,Cuba,70.0,38.0,Blanc
Caney Rhum Vieux 7 ans Anejo Centuria   ,Caney,Cuba,70.0,38.0,Vieux
Havana Club Rhum Vieux 7 ans   ,Havana club,Cuba,70.0,40.0,Vieux
Havana Club Rhum Vieux Seleccion de Maestros   ,Havana club,Cuba,70.0,45.0,Vieux
Legendario Punch Elixir de    ,Legendario,Cuba,70.0,34.2,Spiced
Legendario Rhum Blanc Anejo Blanco   ,Legendario,Cuba,70.0,40.0,Blanc
Legendario Rhum Vieux Anejo 9 ans   ,Legendario,Cuba,70.0,40.0,Vieux
Pacto Navio Rhum Vieux Finition Sauternes   ,Pacto navio,Cuba,70.0,40.0,Vieux
Palma Mulata Rhum Blanc Reserva 3 ans   ,Palma mulata,Cuba,70.0,38.0,Blanc
Palma Mulata Rhum Vieux 15 ans   ,Palma mulata,Cuba,70.0,38.0,Vieux
Santiago de  Rhum Vieux 7 ans Anejo   ,Santiago de ,Cuba,70.0,38.0,Vieux
Santiago de  Rhum Vieux 12 ans Extra Anejo   ,Santiago de ,Cuba,70.0,40.0,Vieux
Varadero Rhum Vieux Anejo 7 ans   ,Varadero,Cuba,70.0,38.0,Vieux
Cor Cor Red Rhum Blanc Traditionnel   ,Cor cor red,Japon,70.0,40.0,Blanc
Nine Leaves Rhum Ambré American Cask   ,Nine leaves,Japon,70.0,50.0,
Nine Leaves Rhum Blanc Clear   ,Nine leaves,Japon,70.0,50.0,Blanc
Ogasawara Rhum Blanc   ,Ogasawara,Japon,70.0,40.0,Blanc
Mezan Rhum Vieux 10 ans 2008 étui   ,Mezan,Belize,70.0,46.0,Vieux
Ferroni Rhum Vieux  2007 Brut de Fût  ,Ferroni,Belize,,59.8,Vieux
Copalli Rhum Blanc White Rum Bio   ,Copalli,Belize,70.0,42.0,Blanc
Copalli Rhum Ambré Barrel Rested Rum Bio   ,Copalli,Belize,70.0,44.0,
Fair Rum Rhum Vieux 9 ans   ,Fair rum,Belize,70.0,41.0,Vieux
Fair Rum Rhum Vieux XO Finish Acacia   ,Fair rum,Belize,70.0,40.0,Vieux
L'Esprit Rhum Vieux Traveller's 8 ans Millésime 2005    ,L'esprit,Belize,70.0,46.0,Vieux
Plantation Rhum Vieux XO Gran Anejo   Guatemala + ,Plantation,Belize,70.0,42.0,Vieux
