nom,producteur,origine,volume,degre
Eminente Rhum Vieux  7 ans Reserva   ,Eminente,Cuba,70cl,"41,3°"
La Progresiva Rhum Vieux   ,La Progresiva,Cuba,,41°
Black Tears Rhum Épice  ,Black Tears,Cuba,,40°
Conde de  Liqueur Elixir   ,XXXXXXXX,Cuba,70cl,32°
Legendario Rhum Ambré Ron Dorado   ,Legendario,Cuba,70cl,38°
Havana Club Rhum Vieux Union coffret   ,Havana Club,Cuba,70cl,40°
Conde de  Rhum Vieux 7 ans   ,Conde de ,Cuba,70cl,38°
Bristol Rhum Vieux Fine n 2003 9 ans   ,Bristol,Cuba,70cl,43°
Caney Rhum Blanc 3 ans Carta Blanca   ,Caney,Cuba,70cl,38°
Caney Rhum Vieux 7 ans Anejo Centuria   ,Caney,Cuba,70cl,38°
Havana Club Rhum Vieux 7 ans   ,Havana Club,Cuba,70cl,40°
Havana Club Rhum Vieux Seleccion de Maestros   ,Havana Club,Cuba,70cl,45°
Legendario Punch Elixir de    ,Legendario,Cuba,70cl,"34,20°"
Legendario Rhum Blanc Anejo Blanco   ,Legendario,Cuba,70cl,40°
Legendario Rhum Vieux Anejo 9 ans   ,Legendario,Cuba,70cl,40°
Pacto Navio Rhum Vieux Finition Sauternes   ,Pacto Navio,Cuba,70cl,40°
Palma Mulata Rhum Blanc Reserva 3 ans   ,Palma Mulata,Cuba,70cl,38°
Palma Mulata Rhum Vieux 15 ans   ,Palma Mulata,Cuba,70cl,38°
Santiago de  Rhum Vieux 7 ans Anejo   ,Santiago de ,Cuba,70cl,38°
Santiago de  Rhum Vieux 12 ans Extra Anejo   ,Santiago de ,Cuba,70cl,40°
Varadero Rhum Vieux Anejo 7 ans   ,Varadero,Cuba,70cl,38°
Cor Cor Red Rhum Blanc Traditionnel   ,Cor Cor Red,Japon,70cl,40°
Nine Leaves Rhum Ambré American Cask   ,Nine Leaves,Japon,70cl,50°
Nine Leaves Rhum Blanc Clear   ,Nine Leaves,Japon,70cl,50°
Ogasawara Rhum Blanc   ,Ogasawara,Japon,70cl,40°
Mezan Rhum Vieux 10 ans 2008 étui   ,Mezan,Belize,70cl,46°
Ferroni Rhum Vieux  2007 Brut de Fût  ,Ferroni,Belize,,"59,8°"
Copalli Rhum Blanc White Rum Bio   ,Copalli,Belize,70cl,42°
Copalli Rhum Ambré Barrel Rested Rum Bio   ,Copalli,Belize,70cl,44°
Fair Rum Rhum Vieux 9 ans   ,Fair Rum,Belize,70cl,41°
Fair Rum Rhum Vieux XO Finish Acacia   ,Fair Rum,Belize,70cl,40°
L'Esprit Rhum Vieux Traveller's 8 ans Millésime 2005    ,L'Esprit,Belize,70cl,46°
Plantation Rhum Vieux XO Gran Anejo   Guatemala + ,Plantation,Belize,70cl,42°
Famille Ricci Rhum Vieux Cuvée Volt Face Brut de Fût  Guyana - ,Famille Ricci,Jamaïque,,"65,3°"
Brugal Rhum Vieux 1888  République ,Brugal,Dominicaine,,40°
Ferroni Rhum Vieux  Port Mourant 2008 Brut de Fût  ,Ferroni,Guyana,,63°
Mezan Rhum Vieux 12 ans 2008 étui  ,Mezan,Guyana,,46°
El Dorado Rhum Vieux Port Mourant Uitvlugt Millésime 2010 étui  ,El Dorado,Guyana,,51°
El Dorado Rhum Vieux Port Mourant Uitvlugt Diamond Millésime 2010 étui  ,El Dorado,Guyana,,"49,6°"
Famille Ricci Rhum Vieux Influence 3 étui  Guyana - ,Famille Ricci,Guatemala,,46°
Mezan Rhum Vieux 12 ans Guyana 2007 PX Sherry Cask Finish ,Mezan,Guyana,,
Rum & Cane Rhum Vieux West Indies XO carafe   ,Rum & Cane,Guyana,70cl,46°
Old Brothers Rhum Vieux 2003 Diamond   ,Old Brothers,Guyana,50cl,61.5°
Rum Nation Rhum Vieux 15 ans 2003 Diamond SXG   ,Rum Nation,Guyana,70cl,58°
Transcontinental Rum Line Rhum Vieux  2004 Cask Strenght TCRL   ,Transcontinental Rum Line,Guyana,70cl,61.1°
El Dorado Rhum Vieux 5 ans   ,El Dorado,Guyana,70cl,40°
Tres Hombres Chocolat Noir avec Grué de Cacao Bio 75% tablette ,Hombres Choco,Guyana,,
Tres Hombres Chocolat au Lait et Sel Marin Bio 40% tablette ,Hombres Choco,Guyana,,
Barcelo Rhum Vieux Imperial Coffret  + 2 verres   République ,Barcelo,Dominicaine,70cl,38°
Barcelo Rhum Vieux Organic étui   République ,Barcelo,Dominicaine,70cl,"37,5°"
Exquisito Rhum Vieux 1990 étui   République ,Exquisito,Dominicaine,70cl,40°
Mezan Rhum Vieux Dominican Republic 2010 étui  République ,Mezan,Dominicaine,,46°
Relicario Rhum Vieux Peated Finish   République ,Relicario,Dominicaine,70cl,40°
Relicario Rhum Vieux Superior   République ,Relicario,Dominicaine,70cl,40°
Matusalem Rhum Vieux Insolito Wine Cask Batch 2  République ,Matusalem,Dominicaine,,40°
Barcelo Rhum Vieux Imperial Premium Blend   République ,Barcelo,Dominicaine,70cl,43°
Relicario Rhum Vieux Supremo   République ,Relicario,Dominicaine,70cl,40°
Tres Hombres Rhum Vieux Dominican Republic Premium    République ,Tres Hombres,Dominicaine,70cl,43°
Matusalem Rhum Vieux Gran Reserva 15 Bird Cage coffret   République ,Matusalem,Dominicaine,70cl,40°
Island Signature Rhum Ambré Anacaona étui   République ,Island Signature,Dominicaine,70cl,40°
El Libertad Rhum Epicé Original   République ,El Libertad,Dominicaine,70cl,40°
Rum Nation Rhum Vieux 1997 Enmore Single Cask   ,Rum Nation,Guyana,70cl,"56,4°"
Transcontinental Rum Line Rhum Vieux  2005 TCRL   ,Transcontinental Rum Line,Guyana,70cl,"58,1°"
Dos Maderas Rhum Vieux Seleccion 10   Barbade et ,Dos Maderas,Guyana,70cl,42°
El Dorado Rhum Blanc White Superior   ,El Dorado,Guyana,70cl,"37,5°"
El Dorado Rhum Vieux 12 ans   ,El Dorado,Guyana,70cl,40°
El Dorado Rhum Vieux 15 ans   ,El Dorado,Guyana,70cl,43°
El Dorado Rhum Vieux 21 ans étui   ,El Dorado,Guyana,70cl,43°
El Dorado Rhum Vieux 25 ans Vintage 1986 carafe boite   ,El Dorado,Guyana,70cl,43°
Kill Devil Rhum Vieux Guyana Uitvlugt 15 ans canister  ,Kill Devil,Guyana,,46°
Mezan Rhum Vieux  Diamond Port Mourant 2005   ,Mezan,Guyana,70cl,40°
Mezan Rhum Vieux  Diamond Versailles 2003   ,Mezan,Guyana,70cl,40°
Pyrat Rhum Vieux XO Réserve   ,Pyrat,Caraïbes,70cl,40°
El Libertad Rhum Epicé Spiced Oak Sherry 8 ans   République ,El Libertad,Dominicaine,70cl,"41,87°"
Ron Esclavo Rhum Vieux XO Brut de Fût   République ,Ron Esclavo,Dominicaine,50cl,65°
La Maison du Rhum République Dominicaine Rhum Vieux 12 Batch 2  ,La Maison du République Dominicaine,Guyana,,42°
Opthimus Rhum Vieux 25 Finition Porto   République ,Opthimus,Dominicaine,70cl,43°
Opthimus Rhum Vieux 25 Finition Single Malt   République ,Opthimus,Dominicaine,70cl,43°
Cañero Solera Rhum Vieux 12 Sauternes Finish   République ,ero Solera,Dominicaine,70cl,41°
Cañero Solera Rhum Vieux 12 Cognac Finish   République ,ero Solera,Dominicaine,70cl,43°
Cañero Solera Rhum Vieux 12 Malt Whisky Finish   République ,ero Solera,Dominicaine,70cl,43°
XM Rhum Vieux 7 ans VXO   ,XM,Guyana,70cl,40°
XM Rhum Vieux 10 ans Royal Dèmerara   ,XM,Guyana,70cl,40°
XM Rhum Vieux 12 ans   ,XM,Guyana,70cl,40°
XM Rhum Vieux 15 ans   ,XM,Guyana,70cl,40°
Cañero Solera Rhum Vieux 12 Reserva Especial   République ,ero Solera,Dominicaine,70cl,38°
Presidente Marti Rhum Vieux 15 étui   République ,Presidente Marti,Dominicaine,70cl,40°
