nom,producteur,origine,volume,degre
Cuba 5 Years,1731 Fine & Rare,Pays-Bas,700.0,46.0
Cuba Dominican Republic (Spanish Caribbean XO),1731 Fine & Rare,Pays-Bas,700.0,46.0
Guatemala Panama Bélize (Central America XO),1731 Fine & Rare,Pays-Bas,700.0,46.0
Panama 6 Years,1731 Fine & Rare,Pays-Bas,700.0,46.0
Trinidad Barbados Jamaica (British West Indies XO),1731 Fine & Rare,Pays-Bas,700.0,46.0
Caroni 12 Ans,Blackadder,Angleterre,700.0,46.0
Caroni 18 Ans,Blackadder,Angleterre,700.0,63.1
Fiji 2001-2012 - 11 Years,Blackadder,Angleterre,700.0,63.9
Guadeloupe Belvédère 1998-2015- 17 Years,Blackadder,Angleterre,700.0,57.5
Guadeloupe Belvédère 1998-2017- 19 Years,Blackadder,Angleterre,700.0,56.6
Guyana Diamond 2008-2018- 10 Years,Blackadder,Angleterre,700.0,57.6
Guyana Diamond 2003-2016- 12 Years,Blackadder,Angleterre,700.0,64.3
Guyana Diamond 2003-2015- 14 Years,Blackadder,Angleterre,700.0,63.1
Guyana Diamond 2003-2015- 15 Years,Blackadder,Angleterre,700.0,48.6
Jamaica Hampden - 14 Years,Blackadder,Angleterre,700.0,57.4
Jamaica Hampden 2000-2016- 15 Years,Blackadder,Angleterre,700.0,57.0
Jamaica Hampden 2000-2017- 16 Years,Blackadder,Angleterre,700.0,56.1
Nicaragua 1999,Blackadder,Angleterre,700.0,46.0
Ste-Lucie 1999-2012,Blackadder,Angleterre,700.0,68.2
Blanc VSOP,Bonpland,Allemagne,700.0,40.0
Claire,Bonpland,Allemagne,700.0,42.0
Forte,Bonpland,Allemagne,700.0,55.0
Rouge VSOP,Bonpland,Allemagne,700.0,40.0
Single Cask (XO) - Barbados 20 Years,Bonpland,Allemagne,700.0,45.0
Single Cask (XO) - Barbados 13 Years (Foursquare),Bonpland,Allemagne,700.0,45.0
Single Cask (XO) - Bélize 13 Years (Travellers),Bonpland,Allemagne,700.0,45.0
Single Cask (XO) - Dominican 16 Years,Bonpland,Allemagne,700.0,45.0
Single Cask (XO) - Fiji 12 Years,Bonpland,Allemagne,700.0,45.0
Single Cask (XO) - Guyana 19 Years (Uitvlugt),Bonpland,Allemagne,700.0,45.0
Single Cask (XO) - Guyana 23 Years (Uitvlugt),Bonpland,Allemagne,700.0,45.0
Single Cask (XO) - Guyana 30 Years (Diamond),Bonpland,Allemagne,700.0,50.0
Single Cask (XO) - Guyana 28 Years (Enmore),Bonpland,Allemagne,700.0,45.0
Single Cask (XO) - Jamaica 18 Years (Hampden),Bonpland,Allemagne,700.0,45.0
Single Cask (XO) - Nicaragua 18 Years,Bonpland,Allemagne,700.0,45.0
Single Cask (XO) - St. Lucia 14 Years,Bonpland,Allemagne,700.0,45.0
Single Cask (XO) - Trinidad 21 Years (Caroni),Bonpland,Allemagne,700.0,50.0
Sombre (Dark Rum),Bonpland,Allemagne,700.0,40.0
Special,Bozkov (Tuzemsky),République Tchèque,700.0,
Black Spiced Rum,Bristol Classic Rum,Angleterre,700.0,42.0
