name,company,country,price,ratings,score,type,rum_url,img_url,br_score
10000 Drops Silver,1000Drops,United States,0,0,0,Light,/brands/10972-10000-drops-silver,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
10000 Drops Spiced,1000Drops,United States,0,1,4,Spiced,/brands/7354-10000-drops-spiced,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/7354/small_10-000-drops-spiced.png,4.711954542
1000 Hills Gold,1000 Hills Distillery,Rwanda,0,1,4,Light,/brands/5285-1000-hills-gold,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5285/small_1000-hills-gold.png,4.711954542
100 Fuegos Buckeye 2-Year,100 Fuegos ,Ecuador,0,0,0,Gold,/brands/9037-100-fuegos-buckeye-2-year,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
100 Fuegos 8-Year,101 Fuegos ,Ecuador,0,0,0,Aged,/brands/1834-100-fuegos-8-year,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
105 Simonton,Key west legal rum ,United States,0,0,0,Gold,/brands/9303-105-simonton,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
10 Cane 1999 Guyana 15-Year,10 Cane,Trinidad and Tobago,0,0,0,Aged,/brands/3805-10-cane-1999-guyana-15-year,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
10 Cane Light,10 Cane,Trinidad and Tobago,0,88,6.4,Light,/brands/1-10-cane-light,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1/small_10_cane_rum_400px.png,6.216165428
10 Cane Signature Blend,10 Cane,Trinidad and Tobago,0,1,10,Gold,/brands/2312-10-cane-signature-blend,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,5.202628554
1423 Indian Rum,1423,Panama,0,1,5,Flavored,/brands/3998-1423-indian-rum,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.793733544
