"nom","marque","pays","volume","titrage_final"
Cuba 5 Years,"1731 Fine & Rare*",Pays-Bas,700,46
Cuba Dominican Republic (Spanish Caribbean XO),"1731 Fine & Rare*",Pays-Bas,700,46
Guatemala Panama Bélize (Central America XO),"1731 Fine & Rare*",Pays-Bas,700,46
Panama 6 Years,"1731 Fine & Rare*",Pays-Bas,700,46
Trinidad Barbados Jamaica (British West Indies XO),"1731 Fine & Rare*",Pays-Bas,700,46
Caroni 12 Ans,Blackadder*,Angleterre,700,46
Caroni 18 Ans,Blackadder*,Angleterre,700,63.1
Fiji 2001-2012 - 11 Years,Blackadder*,Angleterre,700,63.9
Guadeloupe Belvédère 1998-2015- 17 Years,Blackadder*,Angleterre,700,57.5
Guadeloupe Belvédère 1998-2017- 19 Years,Blackadder*,Angleterre,700,56.6
Guyana Diamond 2008-2018- 10 Years,Blackadder*,Angleterre,700,57.6
Guyana Diamond 2003-2016- 12 Years,Blackadder*,Angleterre,700,64.3
Guyana Diamond 2003-2015- 14 Years,Blackadder*,Angleterre,700,63.1
Guyana Diamond 2003-2015- 15 Years,Blackadder*,Angleterre,700,48.6
Jamaica Hampden - 14 Years,Blackadder*,Angleterre,700,57.4
Jamaica Hampden 2000-2016- 15 Years,Blackadder*,Angleterre,700,57
Jamaica Hampden 2000-2017- 16 Years,Blackadder*,Angleterre,700,56.1
Nicaragua 1999,Blackadder*,Angleterre,700,46
Ste-Lucie 1999-2012,Blackadder*,Angleterre,700,68.2
Blanc VSOP,Bonpland*,Allemagne,700,40
Claire,Bonpland*,Allemagne,700,42
Forte,Bonpland*,Allemagne,700,55
Rouge VSOP,Bonpland*,Allemagne,700,40
Single Cask (XO) - Barbados 20 Years,Bonpland*,Allemagne,700,45
Single Cask (XO) - Barbados 13 Years (Foursquare),Bonpland*,Allemagne,700,45
Single Cask (XO) - Bélize 13 Years (Travellers),Bonpland*,Allemagne,700,45
Single Cask (XO) - Dominican 16 Years,Bonpland*,Allemagne,700,45
Single Cask (XO) - Fiji 12 Years,Bonpland*,Allemagne,700,45
Single Cask (XO) - Guyana 19 Years (Uitvlugt),Bonpland*,Allemagne,700,45
Single Cask (XO) - Guyana 23 Years (Uitvlugt),Bonpland*,Allemagne,700,45
Single Cask (XO) - Guyana 30 Years (Diamond),Bonpland*,Allemagne,700,50
Single Cask (XO) - Guyana 28 Years (Enmore),Bonpland*,Allemagne,700,45
Single Cask (XO) - Jamaica 18 Years (Hampden),Bonpland*,Allemagne,700,45
Single Cask (XO) - Nicaragua 18 Years,Bonpland*,Allemagne,700,45
Single Cask (XO) - St. Lucia 14 Years,Bonpland*,Allemagne,700,45
Single Cask (XO) - Trinidad 21 Years (Caroni),Bonpland*,Allemagne,700,50
Sombre (Dark Rum),Bonpland*,Allemagne,700,40
Special,Bozkov (Tuzemsky)*,République Tchèque,700,
Black Spiced Rum,Bristol Classic Rum*,Angleterre,700,42
Caribbean Collection,Bristol Classic Rum*,Angleterre,700,40
Caroni Blended 1999,Bristol Classic Rum*,Angleterre,700,43.1
Caroni Felicite Gold,Bristol Classic Rum*,Angleterre,700,40
Caroni VSOC,Bristol Classic Rum*,Angleterre,700,40
Demerara Rum Enmore Still - 1988,Bristol Classic Rum*,Angleterre,700,43
Diamond Distillery Demerara Rum - 1998,Bristol Classic Rum*,Angleterre,700,40
Diamond Distillery Demerara Rum - 2003,Bristol Classic Rum*,Angleterre,700,43
Fine Barbados Rockley Still - 12 Years (1986-1998) - West Indies,Bristol Classic Rum*,Angleterre,700,46
"Fine Barbados Rockley Still (Millésime 1986-2012, Sherry Finish) - West Indies",Bristol Classic Rum*,Angleterre,700,46
Fine Barbados 2003-2012 (Foursquare),Bristol Classic Rum*,Angleterre,700,43
Fine Barbados 2004-2013 (Foursquare),Bristol Classic Rum*,Angleterre,700,43
Fine Barbados 2004-2016 (Foursquare),Bristol Classic Rum*,Angleterre,700,46
Fine Cuban Rum 2003-2013 (Sancti Spiritus),Bristol Classic Rum*,Angleterre,700,43
Fine Cuban Rum 2003-2015 (Sancti Spiritus),Bristol Classic Rum*,Angleterre,700,43
Fine Cuban Rum 2003-2016 (Sancti Spiritus),Bristol Classic Rum*,Angleterre,700,43
Finest Demerara Rum Enmore - 1988-2018 (Sherry Finish),Bristol Classic Rum*,Angleterre,700,46.5
Finest Mauritus Cane Juice Rhum (Labourdonnais),Bristol Classic Rum*,Angleterre,700,43
Finest Mauritus 5 Ans (Labourdonnais),Bristol Classic Rum*,Angleterre,700,43
Finest Trinidad Rum - Caroni 1974-2008,Bristol Classic Rum*,Angleterre,700,46
Finest Trinidad Rum - Caroni 1989,Bristol Classic Rum*,Angleterre,700,43
Finest Trinidad Rum 1423 - Caroni 1993,Bristol Classic Rum*,Angleterre,700,51.9
Finest Trinidad Rum - Caroni 1995-2015,Bristol Classic Rum*,Angleterre,700,63.1
